Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2016);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Publisher;Coverage;Categories;Unnamed: 19
3085;144982;Physics Education;journal;319120;0.23;Q3;16;176;380;1823;142;335;0.46;10.36;United Kingdom;Institute of Physics;1966-1995, 2005-ongoing;"Education (Q3); Physics and Astronomy (miscellaneous) (Q3)";
3086;19700174682;Safer Communities;journal;17578043;0.23;Q3;11;18;61;776;35;58;0.62;43.11;United Kingdom;Emerald Group Publishing Ltd.;2009-ongoing;"Community and Home Care (Q3); Law (Q3); Safety Research (Q3); Public Health, Environmental and Occupational Health (Q4)";
3087;21100247037;Anatolica;journal;18756654, 00661554;0.229;Q2;6;9;33;566;10;32;0.19;62.89;Belgium;Peeters Publishers;2012-ongoing;"History (Q1); Archeology (Q2); Archeology (arts and humanities) (Q2)";
3088;5700167003;Cultural Politics;journal;17432197;0.229;Q2;9;25;78;1054;32;75;0.37;42.16;United States;Duke University Press;2012-ongoing;"Cultural Studies (Q2); Communication (Q3); Sociology and Political Science (Q3)";
3089;15869;Journal of Clinical Ethics;journal;10467890;0.229;Q3;31;34;142;0;72;123;0.39;0;United States;University Pub. Group;1990-ongoing;"Health Policy (Q3); Health (social science) (Q3); Issues, Ethics and Legal Aspects (Q3); Medicine (miscellaneous) (Q3)";
3090;17700156732;Journal of Teacher Education for Sustainability;journal;14078724, 16915534;0.229;Q3;9;20;42;768;43;42;1.11;38.4;Germany;De Gruyter Open;2007-ongoing;Education (Q3);
3091;11300153733;Management in Education;journal;8920206;0.229;Q3;13;27;95;864;45;81;0.64;32;United States;SAGE Publications;1987-ongoing;"Education (Q3); Strategy and Management (Q3)";
3092;29929;Norsk Geografisk Tidsskrift;journal;15025292, 00291951;0.229;Q3;32;28;108;1339;79;101;0.83;47.82;United Kingdom;Taylor & Francis;1926-1928, 1930, 1932-1933, 1935-1936, 1938, 1940-1946, 1948, 1951, 1954, 1956-1957, 1959, 1961, 1963, 1965, 1967-ongoing;"Earth and Planetary Sciences (miscellaneous) (Q3); Geography, Planning and Development (Q3)";
3093;28928;Northeast African Studies;journal;15356574, 07409133;0.229;Q2;6;15;46;636;12;38;0.27;42.4;United States;African Studies Center, Michigan State University;1985, 2000-2002, 2004, 2011-ongoing;"History (Q1); Cultural Studies (Q2)";
3094;21100327714;Proceedings of the 2014 ITU Kaleidoscope Academic Conference: Living in a Converged World - Impossible Without Standards?, K 2014;conference and proceedings;2014;0.229;-;6;0;37;0;40;34;1.18;0;United States;;2014;"Computer Networks and Communications; E-learning";
3095;19700194015;Religion and Education;journal;15507394, 19498381;0.229;Q3;10;22;66;717;23;59;0.35;32.59;United Kingdom;Taylor and Francis Inc.;1995-ongoing;"Religious Studies (Q1); Education (Q3)";
3096;19700171309;Studies in Social Justice;journal;19114788;0.229;Q3;11;29;56;991;52;52;0.46;34.17;Canada;University of Windsor;2009-ongoing;"Gender Studies (Q3); Law (Q3); Sociology and Political Science (Q3)";
3097;21100206248;Territorio;journal;18258689, 22396330;0.229;Q2;6;83;266;1899;34;265;0.13;22.88;Italy;Franco Angeli Edizioni;2012-ongoing;"Visual Arts and Performing Arts (Q1); Urban Studies (Q2); Geography, Planning and Development (Q3)";
3098;79567;The journal of the Royal College of Physicians of Edinburgh;journal;14782715, 20428189;0.229;Q3;21;77;306;1213;130;184;0.62;15.75;United Kingdom;Royal College of Physicians of Edinburgh;2002-ongoing;"History (Q1); Education (Q3); Medicine (miscellaneous) (Q3)";
3099;26718;Zeitschrift fÃ¼r Dialektologie und Linguistik;journal;441449;0.229;Q2;7;8;24;281;4;23;0.07;35.13;Germany;Franz Steiner Verlag Stuttgart GmbH;2003-ongoing;"Language and Linguistics (Q2); Linguistics and Language (Q2); Sociology and Political Science (Q3)";
3100;5800169373;Comparative Strategy;journal;01495933, 15210448;0.228;Q3;15;33;73;1779;22;70;0.33;53.91;United Kingdom;Routledge;1978-ongoing;Political Science and International Relations (Q3);
3101;25059;Contemporary Jewry;journal;1471694;0.228;Q2;12;33;56;722;13;45;0.21;21.88;Netherlands;Springer Netherlands;1980, 1982, 1986-1987, 1989-2003, 2005-ongoing;"History (Q1); Religious Studies (Q1); Anthropology (Q2); Cultural Studies (Q2)";
3102;16800154717;IFLA Journal;journal;3400352;0.228;Q3;17;30;106;927;45;92;0.34;30.9;United States;SAGE Publications;1975-ongoing;Library and Information Sciences (Q3);
3103;21100292877;International Conference on Information Systems (ICIS 2013): Reshaping Society Through Information Systems Design;conference and proceedings;2013;0.228;-;11;0;199;0;159;196;0;0;United States;;2013;"Applied Mathematics; Computer Science Applications; Library and Information Sciences; Statistics, Probability and Uncertainty";
3104;17600155309;International Journal of Fashion Design, Technology and Education;journal;17543266, 17543274;0.228;Q3;10;27;84;793;31;76;0.36;29.37;United States;Taylor and Francis Ltd.;2008-ongoing;"Visual Arts and Performing Arts (Q1); Industrial and Manufacturing Engineering (Q2); Education (Q3)";
3105;20500195092;International Journal of Sustainable Society;journal;17562546, 17562538;0.228;Q3;12;19;69;707;36;68;0.47;37.21;United Kingdom;Inderscience Enterprises Ltd.;2008-ongoing;"Environmental Science (miscellaneous) (Q3); Geography, Planning and Development (Q3); Management, Monitoring, Policy and Law (Q3); Sociology and Political Science (Q3)";
3106;4000152108;International Perspectives on Higher Education Research;book series;14793628;0.228;Q3;9;0;85;0;38;83;0.45;0;United Kingdom;Emerald Group Publishing Ltd.;2000, 2003, 2005-2006, 2010-2014;Education (Q3);
3107;5800207582;Journal of Germanic Linguistics;journal;14753014, 14705427;0.228;Q2;14;10;28;589;10;27;0.35;58.9;United Kingdom;Cambridge University Press;2001-2007, 2009-ongoing;"Literature and Literary Theory (Q1); Language and Linguistics (Q2); Linguistics and Language (Q2)";
3108;22016;Teorija in Praksa;journal;403598;0.228;Q3;7;64;190;2504;52;184;0.3;39.13;Slovenia;Univerza Edvarda Kardelja v Ljubljani, Fakulteta za Sociologija Politicne Vede in Novinarstvo;1981-1983, 1985, 2011-ongoing;Social Sciences (miscellaneous) (Q3);
3109;19900191876;Transinformacao;journal;1033786;0.228;Q3;5;31;81;858;32;78;0.35;27.68;Brazil;Pontificia Universidade Catolica de Campinas;2010-ongoing;"Museology (Q1); Communication (Q3); Information Systems (Q3); Library and Information Sciences (Q3)";
3110;13499;Asian Development Review;journal;1161105;0.227;Q3;19;16;45;517;34;42;0.55;32.31;United States;MIT Press Journals;1987-2000, 2002-ongoing;"Development (Q3); Geography, Planning and Development (Q3)";
3111;20600195519;Contemporary Social Science: Journal of the Academy of Social Sciences;journal;2158205X, 21582041;0.227;Q3;18;34;93;1372;92;93;0.84;40.35;United Kingdom;Routledge, Taylor & Francis Group;2011-ongoing;"History (Q1); Social Sciences (miscellaneous) (Q3)";
3112;5800169484;Defence Studies;journal;14702436, 17439698;0.227;Q3;8;22;57;1413;21;56;0.49;64.23;United Kingdom;Routledge;2010-ongoing;"History (Q1); Political Science and International Relations (Q3)";
3113;17700155038;Droit et Societe;journal;19696973, 07693362;0.227;Q3;12;30;96;1048;31;92;0.29;34.93;France;Librairie Generale de Droit et de Jurisprudence;2001-ongoing;"Law (Q3); Sociology and Political Science (Q3)";
3114;5800207760;Indogermanischen Forschungen;journal;197262;0.227;Q2;7;22;52;1078;21;49;0.33;49;Germany;Walter de Gruyter GmbH;1996-ongoing;"Language and Linguistics (Q2); Linguistics and Language (Q2)";
3115;19700170038;Romanian Journal of European Affairs;journal;15828271, 18414273;0.227;Q3;5;21;54;603;21;54;0.32;28.71;Romania;European Institute of Romania;2011-ongoing;Political Science and International Relations (Q3);
3116;17171;Slavery and Abolition;journal;17439523, 0144039X;0.227;Q3;14;36;106;5298;97;102;1.19;147.17;United Kingdom;Frank Cass Publishers;1980-1995, 1999-2002, 2009-ongoing;"History (Q1); Sociology and Political Science (Q3)";
3117;21100439340;Communication Sciences and Disorders;journal;22880917, 22881328;0.226;Q2;7;60;149;2665;81;149;0.52;44.42;South Korea;The Korean Academy of Speech-Language Pathology and Audiology (KASA);2013-ongoing;"Linguistics and Language (Q2); Communication (Q3); Speech and Hearing (Q4)";
3118;21100200613;Creative Industries Journal;journal;17510708, 17510694;0.226;Q2;6;12;57;536;19;48;0.44;44.67;United Kingdom;Taylor and Francis Ltd.;2011-ongoing;"Visual Arts and Performing Arts (Q1); Cultural Studies (Q2); Communication (Q3); Management of Technology and Innovation (Q3); Strategy and Management (Q3)";
3119;21100372856;Data in Brief;journal;23523409;0.226;Q3;17;850;358;6255;198;354;0.56;7.36;Netherlands;Elsevier BV;2014-ongoing;"Multidisciplinary (Q2); Education (Q3)";
3120;110577;IEEE International Professional Communication Conference;conference and proceedings;00001997, 00001995, 00001999;0.226;-;15;67;207;974;54;204;0.28;14.54;United States;;1995-1997, 1999-ongoing;"Communication; Engineering (miscellaneous)";
3121;145329;International Journal of Discrimination and the Law;journal;13582291;0.226;Q3;7;16;51;436;23;41;0.59;27.25;United States;SAGE Publications;2000, 2005-2009, 2011-ongoing;"Law (Q3); Sociology and Political Science (Q3)";
3122;12000154348;International Journal of Electronic Government Research;journal;15483894, 15483886;0.226;Q3;25;20;59;1257;44;58;0.78;62.85;United States;Idea Group Publishing;2008-ongoing;"Computer Networks and Communications (Q3); E-learning (Q3); Hardware and Architecture (Q3); Social Sciences (miscellaneous) (Q3); Software (Q4)";
3123;28900;Latomus;journal;238856;0.226;Q2;7;10;12;497;3;12;0;49.7;Belgium;Editions Latomus;1971-1974, 1980, 2002-2013, 2017-ongoing;"Classics (Q1); History (Q1); Literature and Literary Theory (Q1); Archeology (Q2); Archeology (arts and humanities) (Q2); Language and Linguistics (Q2); Linguistics and Language (Q2)";
3124;16800154750;Middle East Journal of Culture and Communication;journal;18739857;0.226;Q2;10;18;50;754;15;48;0.25;41.89;Netherlands;Brill;2008-ongoing;"Cultural Studies (Q2); Arts and Humanities (miscellaneous) (Q3); Communication (Q3); Political Science and International Relations (Q3); Sociology and Political Science (Q3)";
3125;16100154746;Oxford Literary Review;journal;3051498;0.226;Q2;9;18;85;448;6;40;0.12;24.89;United Kingdom;Edinburgh University Press;2002-ongoing;"Literature and Literary Theory (Q1); Cultural Studies (Q2)";
3126;21100829273;Projections (New York);journal;19349688, 19349696;0.226;Q2;3;16;11;541;7;9;0.78;33.81;United States;Berghahn Books Inc.;2015-ongoing;"Visual Arts and Performing Arts (Q1); Cultural Studies (Q2); Communication (Q3)";
3127;22455;Urban History;journal;09639268, 14698706;0.226;Q2;18;34;106;1965;52;102;0.5;57.79;United Kingdom;Cambridge University Press;1974-ongoing;"History (Q1); Urban Studies (Q2); Arts and Humanities (miscellaneous) (Q3); Geography, Planning and Development (Q3)";
3128;20829;Western Folklore;journal;0043373X;0.226;Q2;9;0;23;0;15;22;0.1;0;United States;California Folklore Society;1968-1969, 1979-1980, 1985, 1989, 1999, 2002-2014, 2017-ongoing;"History (Q1); Visual Arts and Performing Arts (Q1); Anthropology (Q2); Cultural Studies (Q2)";
3129;16000154750;Cahiers du Monde Russe;journal;12526576, 17775388;0.225;Q3;11;22;58;943;16;58;0.22;42.86;France;Editions de I'Ecole des Hautes Etudes en Sciences Sociales;2001-ongoing;"History (Q1); Political Science and International Relations (Q3); Sociology and Political Science (Q3)";
3130;5700153771;Family Matters;journal;10302646;0.225;Q3;14;19;56;423;31;48;0.42;22.26;Australia;Australian Institute of Family Studies;1988-1990, 1998, 2009-ongoing;"Sociology and Political Science (Q3); Social Psychology (Q4)";
3131;21100834525;Gruppe. Interaktion. Organisation. Zeitschrift fur Angewandte Organisationspsychologie;journal;23666145, 23666218;0.225;Q3;10;44;98;1466;13;83;0.16;33.32;Germany;Springer Fachmedien Wiesbaden GmbH;2016-ongoing;"Education (Q3); Organizational Behavior and Human Resource Management (Q3); Applied Psychology (Q4); Developmental and Educational Psychology (Q4); Social Psychology (Q4)";
3132;19700172902;International Journal of the Legal Profession;journal;09695958, 14699257;0.225;Q3;10;16;57;943;20;49;0.4;58.94;United Kingdom;Carfax Publishing Ltd.;1994-1995, 2009-ongoing;"Law (Q3); Strategy and Management (Q3)";
3133;15347;International Review of Social History;journal;1469512X, 00208590;0.225;Q3;22;28;73;2200;35;72;0.32;78.57;United Kingdom;Cambridge University Press;1956-ongoing;"History (Q1); Social Sciences (miscellaneous) (Q3)";
3134;145571;Journal for General Philosophy of Science;journal;9254560;0.225;Q3;13;25;84;986;30;81;0.3;39.44;Netherlands;Kluwer Academic Publishers;1990-2002, 2005-ongoing;"History and Philosophy of Science (Q2); Philosophy (Q2); Social Sciences (miscellaneous) (Q3)";
3135;19700176302;Journal of Entrepreneurship Education;journal;15282651, 10988394;0.225;Q3;11;18;71;861;32;65;0.27;47.83;United States;Allied Academies;2009-ongoing;"Business and International Management (Q3); Economics and Econometrics (Q3); Education (Q3); Strategy and Management (Q3)";
3136;21075;Journal of sport history;journal;941700;0.225;Q2;9;14;75;1221;38;69;0.36;87.21;United States;North American Society for Sport History;1977-1979, 1981-1984, 1987, 1989, 2000-2002, 2010-ongoing;"History (Q1); Cultural Studies (Q2); Sports Science (Q4)";
3137;21100823789;Narrative Culture;journal;21690235, 21690251;0.225;Q2;3;10;25;498;8;24;0.33;49.8;United States;Wayne State University Press;2014-ongoing;"Literature and Literary Theory (Q1); Anthropology (Q2); Language and Linguistics (Q2); Linguistics and Language (Q2)";
3138;21100415037;Proceedings of the Annual Precise Time and Time Interval Systems and Applications Meeting, PTTI;conference and proceedings;2016;0.225;-;5;39;39;359;22;38;0.58;9.21;United States;;2016;"Chemical Health and Safety; Safety Research; Safety, Risk, Reliability and Quality";
3139;38661;Quarterly Journal of International Agriculture;journal;498599;0.225;Q3;16;0;38;0;26;38;0.42;0;Germany;D L G Verlags GmbH;1979-1982, 1984-2015;"Development (Q3); Geography, Planning and Development (Q3)";
3140;26481;Society;journal;1472011;0.225;Q3;22;91;259;1389;79;240;0.29;15.26;United States;Springer New York LLC;1971-1996, 1998, 2002-ongoing;"Social Sciences (miscellaneous) (Q3); Sociology and Political Science (Q3)";
3141;18700156707;Teaching Theology and Religion;journal;13684868, 14679647;0.225;Q3;9;35;114;735;38;94;0.29;21;United Kingdom;Blackwell Publishing Inc.;2009-ongoing;"Religious Studies (Q1); Education (Q3)";
3142;21100305304;26th International Technical Meeting of the Satellite Division of the Institute of Navigation, ION GNSS 2013;conference and proceedings;2013;0.224;-;16;68;237;709;142;234;0.65;10.43;United States;;2013;"Computer Networks and Communications; Transportation";
3143;12840;Child and Family Behavior Therapy;journal;1545228X, 07317107;0.224;Q3;28;14;47;533;30;46;0.55;38.07;United States;Haworth Press Inc.;1983-ongoing;"Clinical Psychology (Q3); Social Sciences (miscellaneous) (Q3)";
3144;23891;China Report;journal;94455;0.224;Q3;9;16;61;722;27;57;0.48;45.13;India;Sage Publications India Pvt Ltd.;1971, 1979, 1989-ongoing;"Development (Q3); Geography, Planning and Development (Q3); Political Science and International Relations (Q3)";
3145;5600156595;Historical Research;journal;14682281, 09503471;0.224;Q2;19;43;116;5543;35;114;0.23;128.91;United Kingdom;Basil Blackwell;1923-ongoing;"History (Q1); Cultural Studies (Q2); Sociology and Political Science (Q3)";
3146;30061;History of Education Quarterly;journal;182680;0.224;Q3;8;31;64;2119;24;61;0.51;68.35;United States;Cambridge University Press;1967, 1971-1972, 1974-1976, 1978, 1980-1981, 1983-1986, 1999-2000, 2002-2003, 2008-ongoing;"History (Q1); Education (Q3)";
3147;21100780474;Journal of Curriculum and Pedagogy;journal;15505170, 21568154;0.224;Q3;9;28;55;587;36;41;1.5;20.96;United Kingdom;Taylor and Francis Ltd.;2004-2013, 2016-ongoing;Education (Q3);
3148;145743;Journal of Interactive Learning Research;journal;1093023X;0.224;Q3;24;17;65;723;42;65;0.64;42.53;United States;Association for the Advancement of Computing in Education;2005-ongoing;"Computer Science Applications (Q3); Education (Q3); Human-Computer Interaction (Q3)";
3149;5600156553;Journal of Pacific History;journal;223344;0.224;Q2;17;20;74;1293;46;70;0.67;64.65;United Kingdom;Taylor & Francis;1966-ongoing;"History (Q1); Cultural Studies (Q2); Sociology and Political Science (Q3)";
3150;22273;Peace Economics, Peace Science and Public Policy;journal;10792457;0.224;Q3;14;28;96;1087;41;93;0.49;38.82;Germany;Walter de Gruyter GmbH;2001-ongoing;"Economics and Econometrics (Q3); Management, Monitoring, Policy and Law (Q3); Political Science and International Relations (Q3); Sociology and Political Science (Q3)";
3151;21100821147;Quaestio Rossica;journal;2311911X, 23136871;0.224;Q2;4;59;120;1654;59;112;0.49;28.03;Russian Federation;Ural Federal University;2013-ongoing;"History (Q1); Literature and Literary Theory (Q1); Visual Arts and Performing Arts (Q1); Cultural Studies (Q2); Language and Linguistics (Q2); Linguistics and Language (Q2)";
3152;19700183077;Research in Dance Education;journal;14701111, 14647893;0.224;Q3;11;19;62;707;27;52;0.46;37.21;United Kingdom;Taylor and Francis Inc.;2010-ongoing;"Visual Arts and Performing Arts (Q1); Education (Q3)";
3153;22931;Russian Linguistics;journal;3043487;0.224;Q2;8;15;53;349;21;51;0.39;23.27;Netherlands;Kluwer Academic Publishers;1974-1976, 1978-2003, 2005-ongoing;"Language and Linguistics (Q2); Linguistics and Language (Q2); Developmental and Educational Psychology (Q4)";
